question;subject;use;correct;responseA;responseB;responseC;responseD;remark
What is the capital of Spain?;Geography;Knowledge;D;London;Paris;Berlin;Madrid;
How many planets are there in our solar system?;Astronomy;Knowledge;B;7;8;9;10;
What is the primary color of the sky during the day?;Science;Knowledge;A;Blue;Red;Yellow;Green;
Who wrote the play 'Romeo and Juliet'?;Literature;Knowledge;A;William Shakespeare;Charles Dickens;Jane Austen;Mark Twain;
What gas do plants absorb from the atmosphere?;Biology;Knowledge;B;Oxygen;Carbon Dioxide;Nitrogen;Hydrogen;
What is the chemical symbol for gold?;Chemistry;Knowledge;A;Au;Ag;Hg;Fe;
Which element is essential for human respiration?;Biology;Knowledge;A;Oxygen;Carbon;Hydrogen;Nitrogen;
What is the largest mammal in the world?;Biology;Knowledge;A;Blue Whale;Elephant;Giraffe;Lion;
Who was the first President of the United States?;History;Knowledge;A;George Washington;Abraham Lincoln;Thomas Jefferson;John Adams;
Which planet is known as the 'Red Planet'?;Astronomy;Knowledge;A;Mars;Earth;Jupiter;Saturn;
What is the capital of Australia?;Geography;Knowledge;A;Canberra;Sydney;Melbourne;Brisbane;
What is the symbol for the element hydrogen?;Chemistry;Knowledge;C;He;Hg;H;Hy;
How many continents are there on Earth?;Geography;Knowledge;C;6;5;7;8;
Who painted the 'Mona Lisa'?;Art;Knowledge;D;Michelangelo;Pablo Picasso;Vincent van Gogh;Leonardo da Vinci;
What is the main gas responsible for the greenhouse effect?;Environmental Science;Knowledge;A;Carbon Dioxide;Methane;Nitrous Oxide;Oxygen;
What is the largest desert in the world?;Geography;Knowledge;D;Sahara Desert;Gobi Desert;Atacama Desert;Antarctic Desert;
Which planet is closest to the Sun?;Astronomy;Knowledge;C;Earth;Venus;Mercury;Mars;
What is the square root of 16?;Mathematics;Knowledge;B;3;4;5;6;
How many players are there on a soccer team?;Sports;Knowledge;D;12;10;9;11;
What is the capital of Japan?;Geography;Knowledge;C;Osaka;Kyoto;Tokyo;Hiroshima;
What is the chemical symbol for silver?;Chemistry;Knowledge;A;Ag;Au;Hg;Fe;
